,Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,PIRATEN,FW,AfD,Sonstige,Befragte
57,2016-05-17,30.5,19.5,13.0,7.5,10.5,,,15.0,4.0,1.947
58,2016-05-09,30.5,19.5,13.0,8.0,10.0,,,15.0,4.0,2.048
59,2016-05-02,32.0,19.5,13.0,8.0,10.0,,,13.5,4.0,2.036
60,2016-04-25,31.0,19.5,14.0,8.0,10.0,,,13.5,4.0,2.054
61,2016-04-18,31.5,19.5,13.0,7.0,9.5,,,13.5,6.0,2.01
62,2016-04-11,31.5,19.5,13.5,7.5,9.5,,,12.5,6.0,1.997
63,2016-04-04,32.0,20.0,12.5,7.5,9.0,,,13.0,6.0,2.036
64,2016-03-29,32.0,20.0,12.5,6.0,11.0,,,13.0,5.5,1.873
65,2016-03-21,33.0,22.0,11.0,7.0,10.5,,,12.0,4.5,2.022
66,2016-03-14,32.0,22.0,10.0,6.5,11.0,,,13.0,5.5,2.004
67,2016-03-08,32.5,23.0,11.0,6.5,10.0,,,11.5,5.5,2.011
68,2016-02-29,32.5,23.0,11.0,6.5,11.0,,,11.5,4.5,2.007
69,2016-02-22,32.5,22.5,10.5,6.5,10.0,,,12.5,5.5,2.001
70,2016-02-15,32.5,22.5,11.0,7.0,9.5,,,12.5,5.0,2.014
71,2016-02-09,32.5,22.0,11.0,6.0,10.5,,,12.0,6.0,2.054
72,2016-02-01,33.0,23.0,10.0,6.0,10.0,,,12.5,5.5,2.007
73,2016-01-25,32.5,23.0,10.0,6.0,9.0,,,13.0,6.5,2.047
74,2016-01-18,32.5,22.5,9.5,6.5,10.0,,,12.5,6.5,2.051
75,2016-01-11,35.0,21.5,10.0,6.0,10.0,,,11.5,6.0,2.039
76,2016-01-04,36.0,22.5,10.0,5.0,10.0,,,9.5,7.0,2.022
77,2015-12-21,35.5,23.0,9.5,6.0,11.0,,,9.5,5.5,2.066
78,2015-12-14,35.0,23.5,9.0,5.5,10.0,,,10.0,7.0,2.03
79,2015-12-08,35.0,23.5,9.5,6.0,9.5,,,10.0,6.5,2.012
80,2015-11-30,34.5,23.5,9.5,5.5,9.5,,,10.5,7.0,2.016
81,2015-11-23,34.5,23.0,9.0,6.0,10.5,,,10.0,7.0,2.025
82,2015-11-16,35.0,23.5,10.0,5.0,10.0,,,10.5,6.0,2.057
83,2015-11-09,34.0,24.0,10.0,6.0,11.0,,,10.0,5.0,2.017
84,2015-11-02,35.5,24.5,10.0,5.5,10.0,,,8.0,6.5,2.173
85,2015-10-27,35.0,24.5,11.0,4.5,9.5,,,8.5,7.0,2.196
86,2015-10-19,37.0,25.0,9.5,5.0,9.5,,,7.5,6.5,2.173
87,2015-10-12,38.0,24.5,10.0,5.0,9.0,,,6.5,7.0,2.19
88,2015-10-06,39.0,24.0,9.5,5.0,10.0,,,6.0,6.5,2.183
89,2015-09-28,38.5,23.5,10.5,4.0,10.5,,,6.0,7.0,2.201
90,2015-09-21,39.5,24.5,9.5,4.0,10.0,,,6.0,6.5,2.187
91,2015-09-14,40.0,24.0,10.0,4.0,9.5,,,5.5,7.0,2.172
92,2015-09-08,41.5,24.0,10.5,4.0,9.5,,,5.0,5.5,2.151
93,2015-08-31,41.5,23.5,10.0,4.0,9.5,,,4.5,7.0,2.169
94,2015-08-26,42.0,23.5,10.5,4.0,9.5,,,3.5,7.0,2.169
95,2015-08-17,41.0,24.5,11.0,4.5,9.0,,,4.0,6.0,2.178
96,2015-08-11,42.5,23.0,10.5,4.5,9.0,,,4.0,6.5,2.161
97,2015-08-03,43.0,24.5,10.0,4.0,9.5,,,3.0,6.0,2.166
98,2015-07-28,41.5,25.5,9.5,4.0,9.5,,,3.0,7.0,2.167
99,2015-07-20,42.0,25.0,9.5,4.0,9.5,1.5,,3.0,5.5,2.187
100,2015-07-13,42.0,25.5,9.5,4.0,9.5,,,3.5,6.0,2.178
101,2015-07-07,43.0,24.0,10.0,4.0,9.0,1.0,,4.0,5.0,2.189
102,2015-06-30,39.5,24.5,9.5,5.0,9.5,2.0,,4.5,5.5,2.187
103,2015-06-23,40.0,25.0,10.0,4.0,9.5,,,4.5,7.0,2.179
104,2015-06-15,41.0,24.0,9.5,4.5,10.5,,,4.5,6.0,2.177
105,2015-06-10,40.0,24.0,10.0,5.0,10.0,,,5.0,6.0,2.189
106,2015-06-01,41.0,25.0,10.0,5.0,8.5,,,5.0,5.5,2.168
107,2015-05-27,41.0,24.5,9.5,5.0,9.5,,,5.5,5.0,2.163
108,2015-05-19,40.5,24.0,10.0,4.5,9.5,,,5.5,6.0,2.175
109,2015-05-13,41.5,24.5,9.0,3.0,9.5,,,6.0,6.5,2.149
110,2015-05-04,41.0,25.0,9.5,3.0,9.5,2.0,,6.0,4.0,2.148
111,2015-04-27,40.5,25.0,11.0,3.0,8.5,1.5,,6.0,4.5,2.169
112,2015-04-21,41.0,24.5,10.0,3.5,9.0,,,6.5,5.5,2.174
113,2015-04-14,41.0,23.5,10.0,3.0,9.5,,,6.5,6.5,2.161
114,2015-04-09,42.0,24.0,9.0,3.0,9.0,,,6.5,6.5,2.174
115,2015-03-31,43.0,23.5,10.0,3.0,9.0,,,6.0,5.5,1.978
116,2015-03-24,41.0,24.0,9.5,4.0,9.0,,,6.5,6.0,2.012
117,2015-03-17,41.0,22.5,9.5,3.5,10.0,,,7.5,6.0,1.998
118,2015-03-11,41.0,24.5,9.5,3.0,9.0,,,7.5,5.5,1.997
119,2015-03-02,41.0,24.0,9.5,3.0,9.0,,,7.5,6.0,2.019
120,2015-02-24,41.0,24.5,9.5,3.0,8.5,,,7.5,6.0,1.992
121,2015-02-18,42.0,24.0,10.0,3.0,8.5,,,7.0,5.5,2.011
122,2015-02-10,40.5,25.0,10.5,3.0,8.5,,,7.5,5.0,2.005
123,2015-02-02,41.0,25.0,10.0,2.5,9.0,,,7.0,5.5,2.013
124,2015-01-26,42.0,24.0,10.0,3.0,8.5,,,7.0,5.5,2.005
125,2015-01-20,42.0,23.0,10.0,3.5,9.0,1.5,,7.0,4.0,2.019
126,2015-01-15,43.0,23.0,10.0,2.5,9.0,1.5,,7.5,3.5,2.058
127,2015-01-06,42.5,24.0,9.0,2.0,9.5,,,7.5,5.5,2.036
128,2014-12-16,41.5,24.5,9.5,2.0,10.0,,,7.5,5.0,2.017
129,2014-12-11,41.0,24.0,9.5,2.0,9.5,,,8.0,6.0,2.046
130,2014-12-02,41.5,23.0,9.0,2.0,10.0,,,8.5,6.0,2.047
131,2014-11-24,41.0,24.0,9.0,2.5,10.5,,,7.5,5.5,1.979
132,2014-11-17,40.0,25.0,10.0,2.5,10.0,,,7.0,5.5,2.017
133,2014-11-11,41.0,24.5,10.0,3.5,9.0,,,8.0,4.0,2.028
134,2014-11-05,41.0,25.0,9.0,2.5,9.0,1.5,,8.0,4.0,2.02
135,2014-10-28,41.0,24.0,10.0,2.0,9.0,1.5,,8.0,4.5,2.003
136,2014-10-21,40.5,24.5,9.0,2.5,9.0,1.5,,8.0,5.0,2.005
137,2014-10-13,40.0,24.0,10.0,2.0,9.0,,,9.0,6.0,2.043
138,2014-10-07,39.0,24.0,11.0,3.0,8.0,,,8.0,7.0,2.03
139,2014-09-29,38.5,25.0,11.0,3.0,9.5,,,8.5,4.5,2.037
140,2014-09-24,39.5,24.0,10.0,3.0,9.0,,,8.0,6.5,2.019
141,2014-09-16,39.0,25.0,10.0,3.5,9.5,,,7.0,6.0,2.02
142,2014-09-10,39.5,23.0,11.0,3.5,9.0,2.0,,6.0,6.0,2.03
143,2014-09-02,40.0,25.0,10.0,3.0,10.0,,,6.0,6.0,2.036
144,2014-08-27,42.0,25.0,10.0,3.5,9.5,,,5.0,5.0,1.998
145,2014-08-20,41.0,26.0,10.0,3.5,9.0,,,5.0,5.5,2.005
146,2014-08-13,42.0,26.0,9.5,3.0,9.0,,,5.5,5.0,2.006
147,2014-08-05,41.0,25.0,9.5,3.0,9.5,2.0,,4.5,5.5,2.032
148,2014-07-29,40.0,24.5,10.5,3.5,9.0,1.5,,5.0,6.0,2.014
149,2014-07-23,41.0,24.0,10.0,3.5,9.0,1.5,,6.0,5.0,2.044
150,2014-07-14,40.0,24.0,11.0,3.5,9.0,1.5,,6.0,5.0,2.018
151,2014-07-08,40.0,25.0,10.0,4.0,9.0,2.5,,5.5,4.0,2.033
152,2014-06-30,41.0,24.0,10.0,3.5,9.0,2.0,,6.0,4.5,2.044
153,2014-06-23,40.5,24.0,11.0,3.0,9.0,2.0,,6.0,4.5,2.02
154,2014-06-16,39.5,25.0,11.0,4.0,8.5,1.5,,6.0,4.5,1.993
155,2014-06-11,39.0,24.5,11.0,4.5,9.0,2.0,,6.5,3.5,2.036
156,2014-06-03,38.0,26.0,11.0,3.5,9.0,2.5,,6.0,4.0,2.014
157,2014-05-27,39.0,26.0,10.0,4.0,9.0,2.0,,6.0,4.0,2.009
158,2014-05-19,40.0,25.0,10.0,4.0,9.0,2.0,,5.0,5.0,2.009
159,2014-05-13,40.0,23.5,11.0,4.0,10.0,2.0,,5.5,4.0,2.033
160,2014-05-05,41.0,25.0,11.0,3.0,9.0,2.0,,5.0,4.0,2.082
161,2014-04-29,41.5,24.0,10.0,4.5,9.0,2.0,,5.5,3.5,2.093
162,2014-04-23,41.0,24.5,10.5,4.5,9.0,2.0,,5.0,3.5,2.089
163,2014-04-14,40.5,23.5,10.0,5.0,10.0,2.0,,5.5,3.5,2.08
164,2014-04-08,41.0,24.0,10.0,4.0,10.0,2.0,,6.0,3.0,2.085
165,2014-04-01,41.0,24.5,11.0,3.0,9.0,2.0,,5.0,4.5,2.087
166,2014-03-26,41.0,25.0,10.0,4.0,10.0,2.0,,5.0,3.0,2.088
167,2014-03-19,40.5,24.5,10.0,4.0,10.0,2.0,,5.0,4.0,2.102
168,2014-03-11,41.0,25.5,10.0,4.0,8.5,2.0,,5.5,3.5,2.085
169,2014-03-04,41.0,24.5,11.0,4.0,9.5,2.0,,5.0,3.0,2.043
170,2014-02-25,40.5,25.5,10.0,4.0,9.0,2.5,,5.5,3.0,2.1
171,2014-02-17,41.0,25.0,10.0,4.0,10.0,2.5,,5.0,2.5,2.08
172,2014-02-11,41.0,26.0,9.0,4.0,9.5,2.0,,5.0,3.5,2.102
173,2014-02-03,41.5,25.0,9.5,4.0,9.0,2.5,,5.0,3.5,2.11
174,2014-01-27,41.0,26.5,9.5,4.5,8.5,2.5,,4.0,3.5,2.079
175,2014-01-22,41.0,26.0,9.5,4.5,9.0,,,4.0,6.0,2.096
176,2014-01-13,41.0,26.0,10.0,4.0,9.5,,,4.0,5.5,2.083
177,2014-01-06,41.5,25.0,9.0,4.0,10.0,,,5.0,5.5,2.067
178,2013-12-17,42.0,27.0,9.0,4.0,9.0,,,4.0,5.0,2.1
179,2013-12-09,42.0,25.0,10.0,4.0,9.5,,,4.5,5.0,2.09
180,2013-12-03,42.5,24.0,11.0,3.5,9.5,,,4.0,5.5,2.093
181,2013-11-27,40.5,25.5,10.5,4.0,9.0,,,4.0,6.5,2.095
182,2013-11-20,41.0,25.0,10.0,4.0,9.5,,,4.5,6.0,2.093
183,2013-11-12,42.0,25.0,11.0,4.0,8.5,,,4.5,5.0,2.099
184,2013-11-06,42.0,26.0,10.5,3.5,9.0,,,4.0,5.0,2.086
185,2013-10-30,42.0,26.5,10.0,3.5,9.0,,,4.5,4.5,2.097
186,2013-10-21,43.0,26.0,10.0,3.5,8.5,,,4.0,5.0,2.117
187,2013-10-15,42.0,26.0,9.0,4.0,9.0,,,6.0,4.0,1.998
188,2013-10-10,43.0,25.0,9.0,4.0,9.0,2.0,1.0,5.0,2.0,2.03
189,2013-09-19,38.0,28.0,8.0,6.0,9.0,2.0,1.0,5.0,3.0,2.248
190,2013-09-15,38.0,27.0,11.0,4.0,8.0,3.0,,4.0,,2.132
191,2013-09-09,39.0,28.0,11.0,4.0,8.0,3.0,1.0,3.0,3.0,2.132
192,2013-09-02,39.0,26.0,13.0,5.0,8.0,3.0,1.0,3.0,2.0,2.135
193,2013-08-26,39.0,25.0,14.0,6.0,7.0,3.0,2.0,3.0,1.0,2.128
194,2013-08-20,38.0,26.0,15.0,5.0,8.0,3.0,1.0,3.0,1.0,2.122
195,2013-08-13,39.0,26.0,14.0,5.0,8.0,2.0,1.0,3.0,2.0,2.121
196,2013-08-05,39.0,26.0,14.0,5.0,8.0,2.0,1.0,2.0,3.0,2.131
197,2013-07-30,39.0,26.0,15.0,4.0,7.0,2.0,1.0,3.0,3.0,2.128
198,2013-07-23,38.0,26.0,15.0,5.0,7.0,2.0,1.0,3.0,3.0,2.132
199,2013-07-16,38.0,26.0,15.0,5.0,8.0,2.0,1.0,3.0,2.0,2.122
200,2013-07-09,39.0,26.0,14.0,5.0,7.0,2.0,1.0,3.0,3.0,2.125
201,2013-07-01,40.0,25.0,15.0,4.0,7.0,2.0,2.0,3.0,2.0,2.121
202,2013-06-24,39.0,26.0,16.0,4.0,7.0,2.0,1.0,2.0,3.0,2.129
203,2013-06-19,40.0,25.0,15.0,4.0,7.0,3.0,1.0,3.0,2.0,2.317
204,2013-06-11,39.0,26.0,14.0,5.0,7.0,2.0,1.0,3.0,3.0,2.005
205,2013-06-04,39.0,27.0,15.0,4.0,6.0,3.0,1.0,3.0,2.0,2.633
206,2013-06-01,39.0,26.0,14.0,4.0,7.0,3.0,1.0,4.0,2.0,1.025
207,2013-05-27,39.0,25.0,14.0,4.0,7.0,2.0,2.0,3.0,4.0,2.019
208,2013-05-22,38.0,26.0,13.0,5.0,8.0,2.0,2.0,3.0,3.0,2.009
209,2013-05-17,37.0,27.0,14.0,4.0,8.0,3.0,2.0,3.0,2.0,1.023
210,2013-05-13,37.0,27.0,15.0,4.0,7.0,3.0,1.0,3.0,3.0,2.015
211,2013-05-07,37.0,26.0,15.0,5.0,7.0,3.0,1.0,3.0,3.0,2.044
212,2013-04-29,38.0,26.0,16.0,5.0,7.0,2.0,1.0,3.0,2.0,2.0
213,2013-04-22,38.0,26.0,15.0,5.0,6.0,2.0,1.0,5.0,2.0,2.03
214,2013-04-21,39.0,26.0,14.0,5.0,6.0,2.0,1.0,4.0,3.0,1.03
215,2013-04-16,39.0,26.0,15.0,5.0,6.0,3.0,1.0,3.0,2.0,2.018
216,2013-04-09,39.0,26.0,16.0,5.0,7.0,2.0,2.0,,3.0,2.018
217,2013-03-25,39.0,27.0,14.0,5.0,8.0,3.0,1.0,,3.0,2.006
218,2013-03-22,40.0,27.0,15.0,5.0,7.0,2.0,1.0,,3.0,2.011
219,2013-03-12,40.0,27.0,16.0,5.0,6.0,2.0,2.0,,2.0,2.022
220,2013-03-04,41.0,26.0,15.0,5.0,7.0,3.0,1.0,,2.0,2.006
221,2013-02-26,40.0,28.0,15.0,5.0,7.0,2.0,1.0,,2.0,2.028
222,2013-02-19,40.0,29.0,15.0,5.0,6.0,2.0,1.0,,2.0,2.023
223,2013-02-12,39.0,29.0,15.0,4.0,6.0,3.0,1.0,,3.0,2.011
224,2013-02-04,40.0,29.0,15.0,4.0,6.0,2.0,2.0,,2.0,2.017
225,2013-01-29,40.0,28.0,15.0,5.0,6.0,3.0,1.0,,2.0,2.012
226,2013-01-22,41.0,27.0,14.0,4.0,7.0,3.0,1.0,,3.0,1.997
227,2013-01-15,39.0,28.0,15.0,4.0,7.0,3.0,2.0,,2.0,2.023
228,2013-01-07,39.0,28.0,14.0,4.0,7.0,3.0,2.0,,3.0,2.026
229,2012-12-18,36.0,29.0,13.0,5.0,7.0,4.0,2.0,,4.0,2.012
230,2012-12-11,37.0,29.0,14.0,4.0,7.0,3.0,2.0,,4.0,2.02
231,2012-12-04,35.0,29.0,15.0,5.0,7.0,4.0,2.0,,3.0,2.022
232,2012-11-27,36.0,29.0,15.0,4.0,7.0,4.0,2.0,,3.0,2.041
233,2012-11-19,38.0,29.0,14.0,4.0,7.0,4.0,2.0,,2.0,2.019
234,2012-11-13,38.0,30.0,14.0,5.0,6.0,4.0,1.0,,2.0,2.023
235,2012-11-06,38.0,30.0,14.0,4.0,6.0,3.0,2.0,,3.0,2.003
236,2012-10-30,37.0,30.0,13.0,4.0,7.0,4.0,2.0,,3.0,2.034
237,2012-10-23,35.0,32.0,13.0,4.0,7.0,4.0,2.0,,3.0,2.019
238,2012-10-15,36.0,31.0,12.0,4.0,7.0,4.0,2.0,,4.0,2.013
239,2012-10-09,36.0,30.0,11.0,5.0,7.0,5.0,2.0,,4.0,2.006
240,2012-10-02,36.0,29.0,13.0,4.0,7.0,5.0,2.0,,4.0,2.008
241,2012-09-25,36.0,30.0,14.0,5.0,6.0,5.0,1.0,,3.0,2.03
242,2012-09-20,36.0,29.0,13.0,4.0,7.0,6.0,1.0,,4.0,2.039
243,2012-09-11,37.0,28.0,14.0,4.0,6.0,6.0,2.0,,3.0,2.029
244,2012-09-04,36.0,29.0,14.0,4.0,6.0,6.0,2.0,,3.0,2.014
245,2012-08-28,35.0,29.0,15.0,4.0,6.0,6.0,2.0,,3.0,2.02
246,2012-08-21,36.0,28.0,15.0,4.0,6.0,7.0,1.0,,3.0,2.034
247,2012-08-14,35.0,30.0,14.0,4.0,6.0,6.0,2.0,,3.0,2.031
248,2012-08-07,36.0,30.0,13.0,5.0,6.0,6.0,2.0,,2.0,2.046
249,2012-08-02,35.0,31.0,15.0,4.0,6.0,6.0,1.0,,2.0,2.02
250,2012-07-24,35.0,30.0,15.0,5.0,6.0,6.0,1.0,,2.0,2.037
251,2012-07-17,36.0,29.0,14.0,4.0,6.0,7.0,2.0,,2.0,2.02
252,2012-07-10,35.0,28.0,14.0,4.0,6.0,8.0,2.0,,,2.041
253,2012-07-03,35.0,29.0,14.0,4.0,5.0,8.0,2.0,,3.0,2.021
254,2012-06-25,34.0,31.0,14.0,5.0,6.0,7.0,,,4.0,1.987
255,2012-06-19,35.0,31.0,14.0,5.0,5.0,7.0,,,3.0,2.023
256,2012-06-12,35.0,31.0,13.0,5.0,5.0,7.0,,,4.0,1.999
257,2012-06-05,34.0,32.0,14.0,5.0,4.0,7.0,,,4.0,2.019
258,2012-05-29,33.0,31.0,14.0,5.0,5.0,8.0,,,4.0,2.027
259,2012-05-22,33.0,32.0,14.0,4.0,6.0,8.0,,,3.0,2.013
260,2012-05-15,34.0,29.0,14.0,5.0,6.0,9.0,,,3.0,2.031
261,2012-05-09,35.0,27.0,15.0,5.0,6.0,8.0,,,4.0,2.015
262,2012-05-01,36.0,27.0,13.0,4.0,7.0,9.0,,,4.0,2.098
263,2012-04-23,35.0,26.0,15.0,4.0,6.0,10.0,,,4.0,2.097
264,2012-04-16,36.0,27.0,13.0,4.0,7.0,9.0,,,4.0,2.075
265,2012-04-11,35.0,28.0,13.0,4.0,7.0,9.0,,,4.0,2.1
266,2012-04-03,36.0,29.0,14.0,4.0,6.0,8.0,,,3.0,2.085
267,2012-03-27,36.0,29.0,15.0,4.0,7.0,6.0,,,3.0,2.099
