,Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,Befragte
68,2016-02-20,35.0,24.0,10.0,4.0,10.0,12.0,5.0,2.409
69,2016-02-13,35.0,24.0,9.0,5.0,9.0,12.0,6.0,2.09
70,2016-02-06,35.0,24.0,9.0,4.0,10.0,12.0,6.0,2.306
71,2016-01-30,34.0,24.0,9.0,5.0,10.0,12.0,6.0,1.638
72,2016-01-23,36.0,25.0,9.0,5.0,9.0,10.0,6.0,1.875
73,2016-01-16,38.0,24.0,10.0,5.0,9.0,9.0,5.0,2.016
74,2016-01-09,39.0,23.0,10.0,4.0,10.0,8.0,6.0,940.0
75,2015-12-26,39.0,24.0,9.0,4.0,10.0,9.0,5.0,1.832
76,2015-12-19,38.0,25.0,9.0,5.0,9.0,8.0,6.0,2.821
77,2015-12-12,37.0,26.0,9.0,4.0,10.0,8.0,6.0,2.321
78,2015-12-05,37.0,25.0,10.0,4.0,10.0,8.0,6.0,2.352
79,2015-11-28,38.0,25.0,10.0,4.0,10.0,8.0,5.0,2.356
80,2015-11-21,37.0,26.0,9.0,5.0,9.0,7.0,7.0,2.319
81,2015-11-14,37.0,25.0,10.0,5.0,9.0,8.0,6.0,2.412
82,2015-11-07,36.0,26.0,10.0,4.0,9.0,9.0,6.0,2.442
83,2015-10-31,36.0,25.0,10.0,5.0,10.0,8.0,6.0,1.869
84,2015-10-24,36.0,26.0,10.0,5.0,10.0,7.0,6.0,2.312
85,2015-10-17,37.0,26.0,9.0,5.0,10.0,7.0,6.0,1.496
86,2015-10-10,38.0,25.0,9.0,5.0,10.0,6.0,7.0,1.871
87,2015-10-03,40.0,25.0,9.0,4.0,10.0,5.0,7.0,2.329
88,2015-09-26,40.0,25.0,10.0,4.0,10.0,6.0,5.0,1.956
89,2015-09-19,40.0,24.0,10.0,5.0,9.0,5.0,7.0,1.882
90,2015-09-12,41.0,25.0,11.0,4.0,10.0,4.0,5.0,2.332
91,2015-09-05,41.0,24.0,11.0,4.0,10.0,4.0,6.0,2.8
92,2015-08-29,41.0,24.0,10.0,4.0,10.0,4.0,7.0,2.311
93,2015-08-22,42.0,24.0,10.0,4.0,10.0,4.0,6.0,2.311
94,2015-08-16,43.0,24.0,11.0,4.0,10.0,3.0,5.0,2.436
95,2015-08-08,43.0,24.0,10.0,4.0,10.0,4.0,5.0,1.858
96,2015-08-01,43.0,24.0,10.0,4.0,9.0,3.0,7.0,1.86
97,2015-07-25,43.0,24.0,10.0,4.0,10.0,3.0,6.0,1.471
98,2015-07-18,43.0,25.0,11.0,4.0,9.0,4.0,4.0,1.942
99,2015-07-12,42.0,26.0,10.0,4.0,10.0,3.0,5.0,1.842
100,2015-07-04,40.0,24.0,11.0,4.0,10.0,5.0,6.0,2.247
101,2015-06-27,41.0,24.0,10.0,4.0,10.0,5.0,6.0,2.746
102,2015-06-20,40.0,25.0,10.0,5.0,9.0,5.0,6.0,2.716
103,2015-06-13,40.0,25.0,10.0,5.0,9.0,5.0,6.0,2.277
104,2015-06-06,40.0,25.0,10.0,5.0,10.0,5.0,5.0,1.467
105,2015-05-30,40.0,25.0,10.0,6.0,9.0,5.0,5.0,1.816
106,2015-05-23,40.0,26.0,9.0,5.0,9.0,5.0,6.0,2.302
107,2015-05-16,40.0,25.0,10.0,4.0,9.0,5.0,7.0,1.941
108,2015-05-09,40.0,25.0,10.0,3.0,10.0,6.0,6.0,1.848
109,2015-05-03,41.0,25.0,10.0,3.0,9.0,6.0,6.0,3.631
110,2015-04-25,41.0,25.0,10.0,4.0,8.0,6.0,6.0,3.21
111,2015-04-18,41.0,25.0,10.0,4.0,9.0,6.0,5.0,2.326
112,2015-04-11,41.0,25.0,10.0,4.0,9.0,5.0,6.0,1.404
113,2015-04-04,42.0,25.0,9.0,4.0,9.0,5.0,6.0,2.299
114,2015-03-28,42.0,25.0,9.0,5.0,8.0,6.0,5.0,1.854
115,2015-03-21,41.0,24.0,10.0,4.0,9.0,6.0,6.0,1.006
116,2015-03-14,41.0,24.0,11.0,4.0,9.0,6.0,5.0,1.925
117,2015-03-07,40.0,25.0,10.0,4.0,9.0,7.0,5.0,2.318
118,2015-02-28,41.0,25.0,9.0,4.0,9.0,6.0,6.0,2.307
119,2015-02-21,41.0,26.0,9.0,4.0,9.0,6.0,5.0,2.337
120,2015-02-14,41.0,25.0,10.0,4.0,10.0,6.0,4.0,1.947
121,2015-02-07,40.0,26.0,10.0,3.0,10.0,5.0,6.0,1.859
122,2015-01-31,40.0,25.0,10.0,3.0,10.0,6.0,6.0,1.889
123,2015-01-24,41.0,25.0,10.0,4.0,9.0,6.0,5.0,1.85
124,2015-01-17,42.0,24.0,9.0,4.0,9.0,7.0,5.0,3.243
125,2015-01-10,43.0,24.0,9.0,3.0,9.0,7.0,5.0,2.864
126,2014-12-20,42.0,25.0,9.0,2.0,9.0,7.0,6.0,2.755
127,2014-12-14,41.0,25.0,10.0,3.0,9.0,6.0,6.0,2.764
128,2014-12-07,41.0,26.0,10.0,3.0,9.0,6.0,5.0,2.789
129,2014-11-30,41.0,25.0,10.0,3.0,9.0,7.0,5.0,2.307
130,2014-11-22,42.0,25.0,10.0,3.0,8.0,6.0,6.0,2.331
131,2014-11-16,41.0,24.0,10.0,3.0,9.0,7.0,6.0,2.313
132,2014-11-09,41.0,25.0,9.0,2.0,9.0,7.0,7.0,2.333
133,2014-11-02,41.0,25.0,9.0,3.0,9.0,7.0,6.0,2.312
134,2014-10-26,41.0,25.0,9.0,3.0,9.0,6.0,7.0,2.309
135,2014-10-19,42.0,24.0,9.0,3.0,9.0,7.0,6.0,2.778
136,2014-10-11,42.0,24.0,10.0,2.0,8.0,8.0,6.0,2.323
137,2014-10-05,41.0,24.0,10.0,2.0,9.0,9.0,5.0,2.753
138,2014-09-28,40.0,25.0,9.0,2.0,10.0,8.0,6.0,2.76
139,2014-09-21,40.0,25.0,9.0,3.0,9.0,8.0,6.0,2.319
140,2014-09-14,41.0,25.0,9.0,3.0,9.0,7.0,6.0,2.285
141,2014-09-07,42.0,25.0,9.0,3.0,10.0,6.0,5.0,2.766
142,2014-08-31,43.0,26.0,9.0,3.0,9.0,5.0,5.0,2.418
143,2014-08-24,41.0,26.0,10.0,4.0,9.0,4.0,6.0,3.215
144,2014-08-17,41.0,27.0,10.0,3.0,9.0,4.0,6.0,1.865
145,2014-08-10,41.0,27.0,9.0,3.0,9.0,5.0,6.0,2.802
146,2014-08-03,42.0,25.0,10.0,3.0,9.0,5.0,6.0,1.94
147,2014-07-27,41.0,25.0,10.0,3.0,10.0,5.0,6.0,2.762
148,2014-07-20,40.0,26.0,10.0,3.0,9.0,5.0,7.0,2.414
149,2014-07-13,40.0,25.0,11.0,3.0,9.0,5.0,7.0,2.258
150,2014-07-06,40.0,25.0,10.0,3.0,9.0,6.0,7.0,2.287
151,2014-06-29,40.0,25.0,10.0,3.0,9.0,7.0,6.0,2.287
152,2014-06-22,39.0,25.0,10.0,4.0,9.0,7.0,6.0,1.845
153,2014-06-15,39.0,25.0,11.0,4.0,10.0,6.0,5.0,2.311
154,2014-06-08,39.0,25.0,10.0,3.0,10.0,7.0,6.0,2.299
155,2014-06-01,39.0,25.0,10.0,4.0,10.0,6.0,6.0,2.311
156,2014-05-25,39.0,24.0,10.0,5.0,10.0,6.0,6.0,2.312
157,2014-05-18,39.0,25.0,10.0,5.0,10.0,6.0,5.0,2.791
158,2014-05-11,40.0,25.0,11.0,4.0,9.0,5.0,6.0,2.306
159,2014-05-04,40.0,25.0,10.0,4.0,10.0,5.0,6.0,2.203
160,2014-04-27,41.0,24.0,10.0,4.0,10.0,5.0,6.0,1.859
161,2014-04-20,40.0,25.0,10.0,4.0,9.0,6.0,6.0,2.313
162,2014-04-13,42.0,23.0,9.0,4.0,10.0,6.0,6.0,2.327
163,2014-04-06,41.0,24.0,10.0,3.0,10.0,6.0,6.0,2.271
164,2014-03-30,41.0,25.0,11.0,3.0,10.0,5.0,5.0,2.38
165,2014-03-23,41.0,25.0,10.0,3.0,10.0,5.0,6.0,2.762
166,2014-03-16,41.0,24.0,11.0,4.0,10.0,5.0,5.0,2.78
167,2014-03-09,42.0,23.0,10.0,3.0,10.0,5.0,7.0,2.304
168,2014-03-02,40.0,24.0,10.0,4.0,10.0,5.0,7.0,2.763
169,2014-02-23,41.0,24.0,10.0,4.0,10.0,5.0,6.0,2.421
170,2014-02-16,41.0,24.0,11.0,4.0,10.0,5.0,5.0,2.388
171,2014-02-09,42.0,25.0,10.0,4.0,9.0,4.0,6.0,2.301
172,2014-02-02,42.0,25.0,9.0,4.0,10.0,4.0,6.0,2.295
173,2014-01-26,41.0,26.0,9.0,5.0,9.0,4.0,6.0,2.772
174,2014-01-19,41.0,26.0,8.0,4.0,10.0,5.0,6.0,2.305
175,2014-01-12,42.0,25.0,9.0,4.0,9.0,5.0,6.0,1.402
176,2013-12-22,41.0,25.0,9.0,4.0,9.0,5.0,7.0,2.346
177,2013-12-15,42.0,25.0,9.0,4.0,9.0,5.0,6.0,1.901
178,2013-12-08,42.0,26.0,9.0,3.0,9.0,5.0,6.0,2.291
179,2013-12-01,41.0,26.0,9.0,4.0,9.0,5.0,6.0,2.389
180,2013-11-24,42.0,25.0,10.0,3.0,9.0,5.0,6.0,2.204
181,2013-11-17,41.0,25.0,10.0,3.0,9.0,5.0,7.0,2.765
182,2013-11-10,41.0,26.0,10.0,3.0,9.0,5.0,6.0,2.296
183,2013-11-03,42.0,25.0,9.0,3.0,9.0,5.0,7.0,2.768
184,2013-10-27,41.0,26.0,10.0,3.0,9.0,5.0,6.0,3.219
185,2013-10-20,42.0,25.0,9.0,3.0,10.0,5.0,6.0,2.334
186,2013-10-13,42.0,25.0,9.0,3.0,10.0,6.0,5.0,1.833
187,2013-10-06,42.0,25.0,8.0,4.0,9.0,6.0,6.0,1.849
188,2013-09-29,43.0,26.0,7.0,3.0,9.0,6.0,6.0,1.382
